doc_id,url,cache,fulltext,nature,published,entity_name,entity_type,geo_path
1600/d4386_1683124441-PV-190123.pdf,https://www.ahun.fr/userfile/fichier-telechargement/1683124441-PV-190123.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/random/1600/d4386_1683124441-PV-190123.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/random/txt/1600/d4386_1683124441-PV-190123.pdf.txt,,2023-01-19 00:00:00,Ahun,Commune,Ahun/CC Creuse Sud Ouest/Creuse/Nouvelle-Aquitaine
1600/db195_1683124441-PV-190123.pdf,http://www.ahun.fr/userfile/fichier-telechargement/1683124441-PV-190123.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/random/1600/db195_1683124441-PV-190123.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/random/txt/1600/db195_1683124441-PV-190123.pdf.txt,,2023-01-19 00:00:00,Ahun,Commune,Ahun/CC Creuse Sud Ouest/Creuse/Nouvelle-Aquitaine
1234/1f2e6_22-07_ACTU-SALLANCHES_Lancement%20des%20Festivit%C3%A9s%20de%20No%C3%ABl.pdf,http://www.sallanches.fr/sites/default/files/22-07_ACTU-SALLANCHES_Lancement%20des%20Festivit%C3%A9s%20de%20No%C3%ABl.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/random/1234/1f2e6_22-07_ACTU-SALLANCHES_Lancement%20des%20Festivit%C3%A9s%20de%20No%C3%ABl.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/random/txt/1234/1f2e6_22-07_ACTU-SALLANCHES_Lancement%20des%20Festivit%C3%A9s%20de%20No%C3%ABl.pdf.txt,,2023-01-02 00:00:00,Sallanches,Commune,Sallanches/CC Pays du Mont-Blanc/Haute-Savoie/Auvergne-Rhône-Alpes
1234/76c47_FICHES%20GROUPES%202024_web.pdf,https://www.sallanches.fr/sites/default/files/FICHES%20GROUPES%202024_web.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/random/1234/76c47_FICHES%20GROUPES%202024_web.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/random/txt/1234/76c47_FICHES%20GROUPES%202024_web.pdf.txt,,2023-01-01 00:00:00,Sallanches,Commune,Sallanches/CC Pays du Mont-Blanc/Haute-Savoie/Auvergne-Rhône-Alpes
1234/52ae4_22-07_ACTU-SALLANCHES_Lancement%20des%20Festivit%C3%A9s%20de%20No%C3%ABl.pdf,https://www.sallanches.fr/sites/default/files/22-07_ACTU-SALLANCHES_Lancement%20des%20Festivit%C3%A9s%20de%20No%C3%ABl.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/random/1234/52ae4_22-07_ACTU-SALLANCHES_Lancement%20des%20Festivit%C3%A9s%20de%20No%C3%ABl.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/random/txt/1234/52ae4_22-07_ACTU-SALLANCHES_Lancement%20des%20Festivit%C3%A9s%20de%20No%C3%ABl.pdf.txt,,2023-01-02 00:00:00,Sallanches,Commune,Sallanches/CC Pays du Mont-Blanc/Haute-Savoie/Auvergne-Rhône-Alpes
1234/ba8be_FICHES%20GROUPES%202024_web.pdf,http://www.sallanches.fr/sites/default/files/FICHES%20GROUPES%202024_web.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/random/1234/ba8be_FICHES%20GROUPES%202024_web.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/random/txt/1234/ba8be_FICHES%20GROUPES%202024_web.pdf.txt,,2023-01-01 00:00:00,Sallanches,Commune,Sallanches/CC Pays du Mont-Blanc/Haute-Savoie/Auvergne-Rhône-Alpes
2713/c0ac5_Plan_Action_Qualite_Air_CASGBS.pdf,https://www.saintgermainbouclesdeseine.fr/wp-content/uploads/2023/01/Plan_Action_Qualite_Air_CASGBS.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/random/2713/c0ac5_Plan_Action_Qualite_Air_CASGBS.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/random/txt/2713/c0ac5_Plan_Action_Qualite_Air_CASGBS.pdf.txt,,2023-01-01 00:00:00,CA Saint Germain Boucles de Seine (78),Intercommunalité,CA Saint Germain Boucles de Seine (78)/Yvelines/Île-de-France
2027/4b0d4_Depliant-QRE.pdf,https://www.paysdelarbresle.fr/wp-content/uploads/2023/01/Depliant-QRE.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/random/2027/4b0d4_Depliant-QRE.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/random/txt/2027/4b0d4_Depliant-QRE.pdf.txt,,2023-01-01 00:00:00,CC du Pays de l'Arbresle (CCPA),Intercommunalité,CC du Pays de l'Arbresle (CCPA)/Rhône/Auvergne-Rhône-Alpes
2608/28f8a_Liste_deliberations_CC_26_01_2023.pdf,https://www.bayeux-intercom.fr/fileadmin/Documents/intercommunalite/Comptes-rendus/Liste_deliberations_CC_26_01_2023.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/random/2608/28f8a_Liste_deliberations_CC_26_01_2023.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/random/txt/2608/28f8a_Liste_deliberations_CC_26_01_2023.pdf.txt,,2023-01-26 00:00:00,CC de Bayeux Intercom,Intercommunalité,CC de Bayeux Intercom/Calvados/Normandie
2598/825c0_echo_des_4_vallees_janvier_2023_v2.pdf,https://www.cc4v.fr/sites/default/files/public/media/echo_des_4_vallees_janvier_2023_v2.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/random/2598/825c0_echo_des_4_vallees_janvier_2023_v2.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/random/txt/2598/825c0_echo_des_4_vallees_janvier_2023_v2.pdf.txt,,2023-01-01 00:00:00,CC des Quatre Vallées,Intercommunalité,CC des Quatre Vallées/Loiret/Centre-Val de Loire
2608/7c0f4_Liste_deliberations_CC_26_01_2023.pdf,http://www.bayeux-intercom.fr/fileadmin/Documents/intercommunalite/Comptes-rendus/Liste_deliberations_CC_26_01_2023.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/random/2608/7c0f4_Liste_deliberations_CC_26_01_2023.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/random/txt/2608/7c0f4_Liste_deliberations_CC_26_01_2023.pdf.txt,,2023-01-26 00:00:00,CC de Bayeux Intercom,Intercommunalité,CC de Bayeux Intercom/Calvados/Normandie
2598/61191_echo_des_4_vallees_janvier_2023_v2.pdf,http://www.cc4v.fr/sites/default/files/public/media/echo_des_4_vallees_janvier_2023_v2.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/random/2598/61191_echo_des_4_vallees_janvier_2023_v2.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/random/txt/2598/61191_echo_des_4_vallees_janvier_2023_v2.pdf.txt,,2023-01-01 00:00:00,CC des Quatre Vallées,Intercommunalité,CC des Quatre Vallées/Loiret/Centre-Val de Loire
2248/45778_liste_des_décisions_du_Président_CC_du_19-01-2023.pdf,http://www.cc-paysdelapalisse.fr/images/liste_des_décisions_du_Président_CC_du_19-01-2023.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/random/2248/45778_liste_des_décisions_du_Président_CC_du_19-01-2023.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/random/txt/2248/45778_liste_des_décisions_du_Président_CC_du_19-01-2023.pdf.txt,,2023-01-19 00:00:00,CC du Pays de Lapalisse,Intercommunalité,CC du Pays de Lapalisse/Allier/Auvergne-Rhône-Alpes
